,Bus Name,Area Number,Zone Number,Volt (PU),Volt (KV),Angle (Deg),Gen MW,Gen MVAR,Load MW,Load MVAR,Shunt MW,Shunt MVAR,To Bus Name,MW,MVAR,Transformer Ratio,Transformer Angle (Deg),Percent,Rating,Load Flow Case
0,101     NUC-A       21.600,1,77,1.02,22.032,16.5463,750.0,81.3072,0.0,0.0,0.0,-0.0,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
1,101     NUC-A       21.600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151     NUCPANT     500.00    1  1,750.0001,81.3072,1.000UN,0.0,60,1250.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
2,102     NUC-B       21.600,1,77,1.02,22.032,16.5463,750.0,81.3072,0.0,0.0,0.0,-0.0,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
3,102     NUC-B       21.600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151     NUCPANT     500.00    1  1,750.0001,81.3072,1.000UN,0.0,60,1250.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
4,151     NUCPANT     500.00,1,1,1.0119,505.9414,10.8884,0.0,0.0,0.0,0.0,0.0,614.3441,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
5,151     NUCPANT     500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101     NUC-A       21.600    1  1,-748.3591,-6.9136,1.000LK,0.0,60,1250.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
6,151     NUCPANT     500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102     NUC-B       21.600    1  1,-748.3591,-6.9136,1.000LK,0.0,60,1250.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
7,151     NUCPANT     500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152     MID500      500.00    1  1,465.9492,-167.8173,,0.0,41,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
8,151     NUCPANT     500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152     MID500      500.00    1  2,465.9492,-167.8173,,0.0,41,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
9,151     NUCPANT     500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201     HYDRO       500.00    2  1,564.8212,-264.8822,,0.0,51,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
10,152     MID500      500.00,1,1,1.017,508.4924,-1.1165,0.0,0.0,0.0,0.0,0.0,-0.0,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
11,152     MID500      500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151     NUCPANT     500.00    1  1,-460.4329,-94.7653,,0.0,39,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
12,152     MID500      500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151     NUCPANT     500.00    1  2,-460.4329,-94.7653,,0.0,39,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
13,152     MID500      500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153     MID230      230.00    1  1,740.2827,297.3994,1.009LK,0.0,32,2500.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
14,152     MID500      500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202     EAST500     500.00    2  1,42.474,30.9343,,0.0,4,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
15,152     MID500      500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3004     WEST        500.00    5  1,138.1109,-138.803,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
16,153     MID230      230.00,1,1,0.9935,228.4969,-3.2357,0.0,0.0,200.0,100.0,0.0,-0.0,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
17,153     MID230      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152     MID500      500.00    1  1,-740.2827,-266.0501,1.000UN,0.0,31,2500.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
18,153     MID230      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154     DOWNTN      230.00    1  1,251.748,100.8719,,0.0,91,300.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
19,153     MID230      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154     DOWNTN      230.00    1  2,209.79,80.77,,0.0,75,300.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
20,153     MID230      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3006     UPTOWN      230.00    5  1,78.7445,-15.5919,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
21,154     DOWNTN      230.00,1,1,0.9392,216.0117,-9.8824,0.0,0.0,1000.0,800.0,0.0,-264.6183,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
22,154     DOWNTN      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153     MID230      230.00    1  1,-247.9702,-76.2166,,0.0,92,300.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
23,154     DOWNTN      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153     MID230      230.00    1  2,-206.6418,-66.4541,,0.0,77,300.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
24,154     DOWNTN      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203     EAST230     230.00    2  1,-122.3464,-53.6161,,0.0,71,200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
25,154     DOWNTN      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205     SUB230      230.00    2  1,-354.1113,-250.8575,,0.0,77,600.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
26,154     DOWNTN      230.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008     CATDOG      230.00    5  1,-68.9352,-88.2395,,0.0,30,400.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
27,201     HYDRO       500.00,2,2,1.04,520.0,6.1595,0.0,0.0,0.0,0.0,0.0,-324.48,,0.0,0.0,,0.0,0,,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
28,201     HYDRO       500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151     NUCPANT     500.00    1  1,-561.3012,191.3515,,0.0,48,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
29,201     HYDRO       500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202     EAST500     500.00    2  1,555.8046,12.9184,,0.0,45,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
30,201     HYDRO       500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205     SUB230      230.00    2  &1,603.1671,66.7787,,0.0,49,1200.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
31,201     HYDRO       500.00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211     HYDRO_G     20.000    2  1,-597.6642,53.416,1.000LK,0.0,75,800.0,"Load-MW = 3200, Gen-MW = 3258.64, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
