,Bus Name,Area Number,Zone Number,Volt (PU),Volt (KV),Angle (Deg),Gen MW,Gen MVAR,Load MW,Load MVAR,Shunt MW,Shunt MVAR,To Bus Name,MW,MVAR,Transformer Ratio,Transformer Angle (Deg),Percent,Rating,Load Flow Case
0,101     NUC-A       21.600,1,77,1.0200,22.0320,1.6322,750.0000,125.2095,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
1,101     NUC-A       21.600,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,749.9995,125.2095,1.000UN,0.0000,61,1250,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
2,102     NUC-B       21.600,1,77,1.0200,22.0320,1.6322,750.0000,125.2095,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
3,102     NUC-B       21.600,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,749.9995,125.2095,1.000UN,0.0000,61,1250,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
4,151     NUCPANT     500.00,1,1,1.0060,503.0226,-4.0513,0.0000,0.0000,0.0000,0.0000,0.0000,607.2761,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
5,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,101     NUC-A       21.600    1  1,-748.3323,-49.6308,1.000LK,0.0000,60,1250,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
6,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102     NUC-B       21.600    1  1,-748.3323,-49.6308,1.000LK,0.0000,60,1250,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
7,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  1,439.5884,-103.6066,,0.0000,37,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
8,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  2,439.5884,-103.6066,,0.0000,37,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
9,151     NUCPANT     500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201     HYDRO       500.00    2  1,617.4829,-300.8014,,0.0000,57,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
10,152     MID500      500.00,1,1,0.9815,490.7381,-15.7552,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
11,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  1,-434.4856,-151.8116,,0.0000,39,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
12,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151     NUCPANT     500.00    1  2,-434.4856,-151.8116,,0.0000,39,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
13,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,153     MID230      230.00    1  1,766.2805,393.2939,1.009LK,0.0000,34,2500,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
14,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,202     EAST500     500.00    2  1,161.1230,3.0146,,0.0000,14,1200,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
15,152     MID500      500.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3004     WEST        500.00    5  1,-58.4397,-92.6857,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
16,153     MID230      230.00,1,1,0.9530,219.1800,-18.1249,0.0000,0.0000,234.3316,100.0000,0.0000,-0.0000,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
17,153     MID230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,152     MID500      500.00    1  1,-766.2805,-354.0616,1.000UN,0.0000,34,2500,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
18,153     MID230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154     DOWNTN      230.00    1  1,321.2546,133.3966,,0.0000,122,300,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
19,153     MID230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,154     DOWNTN      230.00    1  2,267.7122,108.1368,,0.0000,101,300,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
20,153     MID230      230.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3006     UPTOWN      230.00    5  1,-57.0185,12.5289,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
21,154     DOWNTN      230.00,1,1,0.8829,203.0588,-27.5426,0.0000,0.0000,1171.6580,800.0000,0.0000,-233.8349,,0.0000,0.0000,,0.0000,0,,"Load-MW = 3749.3093, Gen-MW = 3843.7, Reactors-Mvar = 600, Capacitors-Mvar = 950, Load-Mvar = 1950"
