;Bus Name;Area Number;Zone Number;Volt (PU);Volt (KV);Angle (Deg);Gen MW;Gen MVAR;Load MW;Load MVAR;Shunt MW;Shunt MVAR;To Bus Name;MW;MVAR;Transformer Ratio;Transformer Angle (Deg);Percent;Rating
;101     NUC-A       21.600;1;77;1.0200;22.0320;19.6838;749.3604;81.9414;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.3613;81.9414;1.000UN;0.0000;60;1250
;102     NUC-B       21.600;1;77;1.0200;22.0320;19.6838;749.3604;81.9414;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.3613;81.9414;1.000UN;0.0000;60;1250
;151     NUCPANT     500.00;1;1;1.0118;505.8960;14.0303;0.0000;0.0000;0.0000;0.0000;0.0000;614.2338;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;101     NUC-A       21.600    1  1;-747.7227;-7.6595;1.000LK;0.0000;60;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;102     NUC-B       21.600    1  1;-747.7227;-7.6595;1.000LK;0.0000;60;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;470.1595;-166.6523;;0.0000;41;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  2;470.1595;-166.6523;;0.0000;41;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;555.1337;-265.6096;;0.0000;51;1200
;152     MID500      500.00;1;1;1.0167;508.3415;1.9120;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-464.5414;-93.9901;;0.0000;39;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  2;-464.5414;-93.9901;;0.0000;39;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;732.9913;297.2451;1.009LK;0.0000;32;2500
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;15.1892;32.4903;;0.0000;3;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;180.9137;-141.7550;;0.0000;0;
;153     MID230      230.00;1;1;0.9932;228.4260;-0.1876;0.0000;0.0000;192.0800;100.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-732.9913;-266.4111;1.000UN;0.0000;31;2500
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;235.8358;102.8731;;0.0000;86;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  2;196.5298;82.4397;;0.0000;72;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3006     UPTOWN      230.00    5  1;108.5466;-18.9032;;0.0000;0;
;154     DOWNTN      230.00;1;1;0.9379;215.7256;-6.3958;0.0000;0.0000;960.3999;800.0000;0.0000;-250.0276;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;-232.4273;-81.5269;;0.0000;88;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  2;-193.6894;-70.8715;;0.0000;73;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-119.2500;-54.9096;;0.0000;70;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;-379.1308;-245.0751;;0.0000;80;600
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;-35.9323;-97.6037;;0.0000;28;400
;201     HYDRO       500.00;2;2;1.0400;520.0000;9.3799;0.0000;0.0000;0.0000;0.0000;0.0000;-307.4020;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-551.7161;190.5540;;0.0000;47;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;558.5863;14.0807;;0.0000;45;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  &1;590.3132;67.4523;;0.0000;48;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;211     HYDRO_G     20.000    2  1;-597.2175;35.2188;1.000LK;0.0000;75;800
;202     EAST500     500.00;2;2;1.0085;504.2693;1.8636;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-15.1359;-129.2367;;0.0000;11;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;-552.5405;-148.3822;;0.0000;47;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;567.6887;277.6191;1.000LK;0.0000;79;800
;203     EAST230     230.00;2;2;0.9658;222.1324;-3.5053;0.0000;0.0000;288.1200;150.0000;0.0000;-44.1832;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;120.0126;53.4731;;0.0000;68;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;-566.1182;-213.8201;1.000UN;0.0000;76;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;78.9911;27.2639;;0.0000;43;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  2;78.9911;27.2639;;0.0000;43;200
;205     SUB230      230.00;2;2;0.9479;218.0206;-5.6334;0.0000;0.0000;1152.4800;700.0000;0.0000;-255.3757;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;379.8881;244.7144;;0.0000;79;600
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  &1;-578.3302;-154.4565;1.000UN;0.0000;75;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-78.6051;-31.1154;;0.0000;45;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  2;-78.6051;-31.1154;;0.0000;45;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;206     URBGEN      18.000    2  1;-796.8648;-472.6641;1.000LK;0.0000;103;900
;206     URBGEN      18.000;2;2;1.0226;18.4065;0.5848;799.3177;600.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;799.3486;600.0093;1.000UN;0.0000;111;900
;211     HYDRO_G     20.000;2;2;1.0440;20.8802;16.1053;599.4883;35.0026;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;599.5338;35.0990;1.000UN;0.0000;75;800
;3001     MINE        230.00;5;5;1.0298;236.8574;-0.6961;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3002     E. MINE     500.00    5  1;13.0022;15.0448;1.000LK;0.0000;2;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3003     S. MINE     230.00    5  1;119.1374;86.4135;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3011     MINE_G      13.800    5  1;-132.1382;-101.4584;1.000LK;0.0000;13;1300
;3002     E. MINE     500.00;5;5;1.0276;513.7934;-0.7992;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3001     MINE        230.00    5  1;-13.0010;-14.9889;1.000UN;0.0000;2;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;13.0005;14.9889;;0.0000;0;
;3003     S. MINE     230.00;5;5;1.0231;235.3230;-1.2144;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3001     MINE        230.00    5  1;-119.1374;-84.7795;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  1;59.5683;42.3897;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  2;59.5683;42.3897;;0.0000;0;
;3004     WEST        500.00;5;5;1.0165;508.2350;-1.1193;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-179.9592;-107.0568;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3002     E. MINE     500.00    5  1;-12.9687;-24.1043;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  1;192.9289;131.1614;1.000LK;0.0000;29;800
