Bus Name;Area Number;Zone Number;Volt (PU);Volt (KV);Angle (Deg);Gen MW;Gen MVAR;Load MW;Load MVAR;Shunt MW;Shunt MVAR;To Bus Name;MW;MVAR;Transformer Ratio;Transformer Angle (Deg);Percent;Rating
101     NUC-A       21.600;1;77;1.0200;22.0320;16.5463;750.0000;81.3072;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;750.0001;81.3072;1.000UN;0.0000;60;1250
102     NUC-B       21.600;1;77;1.0200;22.0320;16.5463;750.0000;81.3072;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;750.0001;81.3072;1.000UN;0.0000;60;1250
151     NUCPANT     500.00;1;1;1.0119;505.9414;10.8884;0.0000;0.0000;0.0000;0.0000;0.0000;614.3441;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;101     NUC-A       21.600    1  1;-748.3591;-6.9136;1.000LK;0.0000;60;1250
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;102     NUC-B       21.600    1  1;-748.3591;-6.9136;1.000LK;0.0000;60;1250
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;465.9492;-167.8173;;0.0000;41;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  2;465.9492;-167.8173;;0.0000;41;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;564.8212;-264.8822;;0.0000;51;1200
152     MID500      500.00;1;1;1.0170;508.4924;-1.1165;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-460.4329;-94.7653;;0.0000;39;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  2;-460.4329;-94.7653;;0.0000;39;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;740.2827;297.3994;1.009LK;0.0000;32;2500
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;42.4740;30.9343;;0.0000;4;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;138.1109;-138.8030;;0.0000;0;
153     MID230      230.00;1;1;0.9935;228.4969;-3.2357;0.0000;0.0000;200.0000;100.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-740.2827;-266.0501;1.000UN;0.0000;31;2500
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;251.7480;100.8719;;0.0000;91;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  2;209.7900;80.7700;;0.0000;75;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3006     UPTOWN      230.00    5  1;78.7445;-15.5919;;0.0000;0;
154     DOWNTN      230.00;1;1;0.9392;216.0117;-9.8824;0.0000;0.0000;1000.0000;800.0000;0.0000;-264.6183;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;-247.9702;-76.2166;;0.0000;92;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  2;-206.6418;-66.4541;;0.0000;77;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-122.3464;-53.6161;;0.0000;71;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;-354.1113;-250.8575;;0.0000;77;600
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;-68.9352;-88.2395;;0.0000;30;400
201     HYDRO       500.00;2;2;1.0400;520.0000;6.1595;0.0000;0.0000;0.0000;0.0000;0.0000;-324.4800;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-561.3012;191.3515;;0.0000;48;1200
